product_name,category,price,merchant_info,product_details,date_and_country_pf_review,review,review_title,reviewer_name,rating_elements,product_url
Michael Kors Women's Jet Set Item Lg Crossbody,"Clothing, Shoes & Jewelry",79.0,Amazon.com,"Is Discontinued By Manufacturer : No
Product Dimensions : 10 x 6 x 2 inches; 0.01 Ounces
Item model number : 1129
Department : Womens
Date First Available : August 1, 2018
ASIN : B07G3HSMNY","Reviewed in the United States on September 12, 2023","Excelente producto, es original. Todo bien.",Original!,Juan Sebastian Parra,5.0 out of 5 stars,https://www.amazon.com/Michael-Kors-Large-Crossbody-35F8GTTC3B/dp/B07G3HSMNY/ref=sr_1_4?keywords=bags+mk&qid=1695432271&sr=8-4
Michael Kors Women's Jet Set Item Lg Crossbody,"Clothing, Shoes & Jewelry",79.0,Amazon.com,"Is Discontinued By Manufacturer : No
Product Dimensions : 10 x 6 x 2 inches; 0.01 Ounces
Item model number : 1129
Department : Womens
Date First Available : August 1, 2018
ASIN : B07G3HSMNY","Reviewed in the United States on August 18, 2023",I was skeptical about buying this purse. I have the same one from the MK store but the strap broke so I ordered this one for the price and it looks feels and is the exact same as the one from the MK store! Don’t hesitate buy it!! ITS LEGIT,Authentic,Amazon Customer,5.0 out of 5 stars,https://www.amazon.com/Michael-Kors-Large-Crossbody-35F8GTTC3B/dp/B07G3HSMNY/ref=sr_1_4?keywords=bags+mk&qid=1695432271&sr=8-4
Michael Kors Women's Jet Set Item Lg Crossbody,"Clothing, Shoes & Jewelry",79.0,Amazon.com,"Is Discontinued By Manufacturer : No
Product Dimensions : 10 x 6 x 2 inches; 0.01 Ounces
Item model number : 1129
Department : Womens
Date First Available : August 1, 2018
ASIN : B07G3HSMNY","Reviewed in the United States on August 15, 2023","Aʙsᴏʟᴜᴛʟᴇʏ ʀᴇғʟᴇᴄᴛs Mɪᴄʜᴀᴇʟ Kᴏʀs ʟᴜx Sᴛᴀɴᴅᴀʀᴅs. I ʜᴀᴠᴇ ᴏᴡɴᴇᴅ ᴍᴀɴʏ, ɪ'ᴠᴇ ᴅᴇᴀʟᴛ ᴡɪᴛʜ ʀᴇᴀʟ ᴠs. ᴋɴᴏᴄᴋᴏғғ sᴏ ɪ ᴄᴏɴsɪᴅᴇʀ ᴍʏsᴇʟғ ᴘʀᴇᴛᴛʏ ᴇᴅᴜᴄᴀᴛᴇᴅ ɪɴ ᴡʜᴀᴛ ᴛʜᴇ ᴅɪғғᴇʀᴇɴᴄᴇs ᴀʀᴇ. Gᴇᴛ Iᴛ! Oʀɪɢɪɴᴀʟ ᴘᴀᴘᴇʀ ᴡᴏʀᴋ/ᴘʀᴏᴛᴇᴄᴛɪᴠᴇ ᴘᴀᴄᴋᴀɢɪɴɢ ᴄᴀɴ ʙᴇ ᴇxᴘᴇᴄᴛᴇᴅ ᴀs ᴡᴇʟʟ! Lᴏᴠᴇ ᴍʏ MK ᴘᴜʀsᴇ.",Tʜᴇsᴇ ʙᴀɢs ᴀʀᴇ AUTHENTIC!,Mylah Chanel,5.0 out of 5 stars,https://www.amazon.com/Michael-Kors-Large-Crossbody-35F8GTTC3B/dp/B07G3HSMNY/ref=sr_1_4?keywords=bags+mk&qid=1695432271&sr=8-4
Michael Kors Women's Jet Set Item Lg Crossbody,"Clothing, Shoes & Jewelry",79.0,Amazon.com,"Is Discontinued By Manufacturer : No
Product Dimensions : 10 x 6 x 2 inches; 0.01 Ounces
Item model number : 1129
Department : Womens
Date First Available : August 1, 2018
ASIN : B07G3HSMNY","Reviewed in the United States on September 9, 2023",Nada,"Muy buen material, con todos los detalles perfectos! Llego en el tiempo esperarado",Laura,5.0 out of 5 stars,https://www.amazon.com/Michael-Kors-Large-Crossbody-35F8GTTC3B/dp/B07G3HSMNY/ref=sr_1_4?keywords=bags+mk&qid=1695432271&sr=8-4
Michael Kors Women's Jet Set Item Lg Crossbody,"Clothing, Shoes & Jewelry",79.0,Amazon.com,"Is Discontinued By Manufacturer : No
Product Dimensions : 10 x 6 x 2 inches; 0.01 Ounces
Item model number : 1129
Department : Womens
Date First Available : August 1, 2018
ASIN : B07G3HSMNY","Reviewed in the United States on September 3, 2023",Es de buen tamaño esta hermosa,Está muy linda la recomiendo,Maria Alvarez,5.0 out of 5 stars,https://www.amazon.com/Michael-Kors-Large-Crossbody-35F8GTTC3B/dp/B07G3HSMNY/ref=sr_1_4?keywords=bags+mk&qid=1695432271&sr=8-4
Michael Kors Women's Jet Set Item Lg Crossbody,"Clothing, Shoes & Jewelry",79.0,Amazon.com,"Is Discontinued By Manufacturer : No
Product Dimensions : 10 x 6 x 2 inches; 0.01 Ounces
Item model number : 1129
Department : Womens
Date First Available : August 1, 2018
ASIN : B07G3HSMNY","Reviewed in the United States on August 26, 2023",Great dressy bag for going out for the evening.,Size is perfect.,dw1498,5.0 out of 5 stars,https://www.amazon.com/Michael-Kors-Large-Crossbody-35F8GTTC3B/dp/B07G3HSMNY/ref=sr_1_4?keywords=bags+mk&qid=1695432271&sr=8-4
Michael Kors Women's Jet Set Item Lg Crossbody,"Clothing, Shoes & Jewelry",79.0,Amazon.com,"Is Discontinued By Manufacturer : No
Product Dimensions : 10 x 6 x 2 inches; 0.01 Ounces
Item model number : 1129
Department : Womens
Date First Available : August 1, 2018
ASIN : B07G3HSMNY","Reviewed in Singapore on July 1, 2023",Really like the size and suits my daily needs! Delivery was prompt. Thank you!,MK sling bag,"Thank you! It suits my need, love it!","<span class=""a-icon-alt"">5.0 out of 5 stars</span>",https://www.amazon.com/Michael-Kors-Large-Crossbody-35F8GTTC3B/dp/B07G3HSMNY/ref=sr_1_4?keywords=bags+mk&qid=1695432271&sr=8-4
Michael Kors Women's Jet Set Item Lg Crossbody,"Clothing, Shoes & Jewelry",79.0,Amazon.com,"Is Discontinued By Manufacturer : No
Product Dimensions : 10 x 6 x 2 inches; 0.01 Ounces
Item model number : 1129
Department : Womens
Date First Available : August 1, 2018
ASIN : B07G3HSMNY","Reviewed in Australia on September 8, 2023",Saved $150 by checking here to see if bag available. Fast delivery. Excellent bag.,Huge discount in Amazon,Penny,"<span class=""a-icon-alt"">5.0 out of 5 stars</span>",https://www.amazon.com/Michael-Kors-Large-Crossbody-35F8GTTC3B/dp/B07G3HSMNY/ref=sr_1_4?keywords=bags+mk&qid=1695432271&sr=8-4
Michael Kors Women's Jet Set Item Lg Crossbody,"Clothing, Shoes & Jewelry",79.0,Amazon.com,"Is Discontinued By Manufacturer : No
Product Dimensions : 10 x 6 x 2 inches; 0.01 Ounces
Item model number : 1129
Department : Womens
Date First Available : August 1, 2018
ASIN : B07G3HSMNY","Reviewed in Mexico on August 21, 2023",Esta muy padre y mas por el precio,Muy linda,Mayra Hernández Barron,"<span class=""a-icon-alt"">5.0 out of 5 stars</span>",https://www.amazon.com/Michael-Kors-Large-Crossbody-35F8GTTC3B/dp/B07G3HSMNY/ref=sr_1_4?keywords=bags+mk&qid=1695432271&sr=8-4
Michael Kors Women's Jet Set Item Lg Crossbody,"Clothing, Shoes & Jewelry",79.0,Amazon.com,"Is Discontinued By Manufacturer : No
Product Dimensions : 10 x 6 x 2 inches; 0.01 Ounces
Item model number : 1129
Department : Womens
Date First Available : August 1, 2018
ASIN : B07G3HSMNY","Reviewed in Australia on September 3, 2023",I bought it for My wife and she is really happy with it.,Quality stuff,Shraban Sedhai,"<span class=""a-icon-alt"">5.0 out of 5 stars</span>",https://www.amazon.com/Michael-Kors-Large-Crossbody-35F8GTTC3B/dp/B07G3HSMNY/ref=sr_1_4?keywords=bags+mk&qid=1695432271&sr=8-4
Michael Kors Women's Jet Set Item Lg Crossbody,"Clothing, Shoes & Jewelry",79.0,Amazon.com,"Is Discontinued By Manufacturer : No
Product Dimensions : 10 x 6 x 2 inches; 0.01 Ounces
Item model number : 1129
Department : Womens
Date First Available : August 1, 2018
ASIN : B07G3HSMNY","Reviewed in Mexico on September 9, 2023",Tardo 3 semanas más en llegar pero el producto es excelente,Tardo un poco en llegar,Alejandro Aldama Garcia,"<span class=""a-icon-alt"">5.0 out of 5 stars</span>",https://www.amazon.com/Michael-Kors-Large-Crossbody-35F8GTTC3B/dp/B07G3HSMNY/ref=sr_1_4?keywords=bags+mk&qid=1695432271&sr=8-4
EVVE Women's Saffiano Crossbody Camera Bag Designer Shoulder Purse with Chain and Leather Strap,"Clothing, Shoes & Jewelry",26.99,Amazon.com,"Package Dimensions : 10.79 x 7.87 x 2.99 inches; 10.86 Ounces
Department : Women
Date First Available : August 10, 2022
ASIN : B0B9937BS2
Country of Origin : China","Reviewed in the United States on August 20, 2023","I bought two of these bags. The dusty blue and dark grey. They are both great, but the dusty blue is more like a light sea foam green. I’m keeping the dark grey and returning the dusty blue. Had it actually been a lighter blue color I would have kept. The bag is a good size and seems sturdy. I would recommend for a good crossbody bag!",Good Size,Amazon Customer,4.0 out of 5 stars,https://www.amazon.com/dp/B0B9937BS2/ref=sspa_dk_detail_1?psc=1&pd_rd_i=B0B9937BS2&pd_rd_w=T7KYU&content-id=amzn1.sym.08ba9b95-1385-44b0-b652-c46acdff309c&pf_rd_p=08ba9b95-1385-44b0-b652-c46acdff309c&pf_rd_r=P92KRXNXWHEV00T8Z39T&pd_rd_wg=0bbrQ&pd_rd_r=e4676963-b8c4-49f2-b89e-71bc595c3511&s=shoes&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzN0hMMFRFSjVKM1dZJmVuY3J5cHRlZElkPUEwNjg2OTI4MjJLNTlQNjZBREFUMCZlbmNyeXB0ZWRBZElkPUEwNzAyMDc3Mk5POVlKMk1FMzYzRCZ3aWRnZXROYW1lPXNwX2RldGFpbF90aGVtYXRpYyZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=
EVVE Women's Saffiano Crossbody Camera Bag Designer Shoulder Purse with Chain and Leather Strap,"Clothing, Shoes & Jewelry",26.99,Amazon.com,"Package Dimensions : 10.79 x 7.87 x 2.99 inches; 10.86 Ounces
Department : Women
Date First Available : August 10, 2022
ASIN : B0B9937BS2
Country of Origin : China","Reviewed in the United States on May 27, 2023","I really enjoyed this purse a lot, but it is very very stiff. That’s a bonus for the body of the purse, but I could never get the storage from the handle loops/shoulder loops to ever run wind from the original position to be smooth and seamless, so it always had kinks in it from storage and mailing. I did like that the purse itself was very hard bodied, so I could keep things in it, without things popping through or showing, but it was kind of hard to reach and without grazing my hand against the zipper or hard to see in to see what I had inside. Overall, it was a good purchase, but I don’t know if I would re-purchase again. I am satisfied with it though, and I will keep it and I will use it again but it’s probably gonna take a long time for the shoulder straps to ever unkink themselves if at all.",High quality but stiff,Jess,4.0 out of 5 stars,https://www.amazon.com/dp/B0B9937BS2/ref=sspa_dk_detail_1?psc=1&pd_rd_i=B0B9937BS2&pd_rd_w=T7KYU&content-id=amzn1.sym.08ba9b95-1385-44b0-b652-c46acdff309c&pf_rd_p=08ba9b95-1385-44b0-b652-c46acdff309c&pf_rd_r=P92KRXNXWHEV00T8Z39T&pd_rd_wg=0bbrQ&pd_rd_r=e4676963-b8c4-49f2-b89e-71bc595c3511&s=shoes&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzN0hMMFRFSjVKM1dZJmVuY3J5cHRlZElkPUEwNjg2OTI4MjJLNTlQNjZBREFUMCZlbmNyeXB0ZWRBZElkPUEwNzAyMDc3Mk5POVlKMk1FMzYzRCZ3aWRnZXROYW1lPXNwX2RldGFpbF90aGVtYXRpYyZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=
EVVE Women's Saffiano Crossbody Camera Bag Designer Shoulder Purse with Chain and Leather Strap,"Clothing, Shoes & Jewelry",26.99,Amazon.com,"Package Dimensions : 10.79 x 7.87 x 2.99 inches; 10.86 Ounces
Department : Women
Date First Available : August 10, 2022
ASIN : B0B9937BS2
Country of Origin : China","Reviewed in the United States on August 25, 2023",I like my purse it is so pretty and I don’t dislike nothing about it at all,Fabulous,Delecia Johnson,5.0 out of 5 stars,https://www.amazon.com/dp/B0B9937BS2/ref=sspa_dk_detail_1?psc=1&pd_rd_i=B0B9937BS2&pd_rd_w=T7KYU&content-id=amzn1.sym.08ba9b95-1385-44b0-b652-c46acdff309c&pf_rd_p=08ba9b95-1385-44b0-b652-c46acdff309c&pf_rd_r=P92KRXNXWHEV00T8Z39T&pd_rd_wg=0bbrQ&pd_rd_r=e4676963-b8c4-49f2-b89e-71bc595c3511&s=shoes&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzN0hMMFRFSjVKM1dZJmVuY3J5cHRlZElkPUEwNjg2OTI4MjJLNTlQNjZBREFUMCZlbmNyeXB0ZWRBZElkPUEwNzAyMDc3Mk5POVlKMk1FMzYzRCZ3aWRnZXROYW1lPXNwX2RldGFpbF90aGVtYXRpYyZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=
EVVE Women's Saffiano Crossbody Camera Bag Designer Shoulder Purse with Chain and Leather Strap,"Clothing, Shoes & Jewelry",26.99,Amazon.com,"Package Dimensions : 10.79 x 7.87 x 2.99 inches; 10.86 Ounces
Department : Women
Date First Available : August 10, 2022
ASIN : B0B9937BS2
Country of Origin : China","Reviewed in the United States on August 27, 2023",Good,Good,Denise Bowman,5.0 out of 5 stars,https://www.amazon.com/dp/B0B9937BS2/ref=sspa_dk_detail_1?psc=1&pd_rd_i=B0B9937BS2&pd_rd_w=T7KYU&content-id=amzn1.sym.08ba9b95-1385-44b0-b652-c46acdff309c&pf_rd_p=08ba9b95-1385-44b0-b652-c46acdff309c&pf_rd_r=P92KRXNXWHEV00T8Z39T&pd_rd_wg=0bbrQ&pd_rd_r=e4676963-b8c4-49f2-b89e-71bc595c3511&s=shoes&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzN0hMMFRFSjVKM1dZJmVuY3J5cHRlZElkPUEwNjg2OTI4MjJLNTlQNjZBREFUMCZlbmNyeXB0ZWRBZElkPUEwNzAyMDc3Mk5POVlKMk1FMzYzRCZ3aWRnZXROYW1lPXNwX2RldGFpbF90aGVtYXRpYyZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=
EVVE Women's Saffiano Crossbody Camera Bag Designer Shoulder Purse with Chain and Leather Strap,"Clothing, Shoes & Jewelry",26.99,Amazon.com,"Package Dimensions : 10.79 x 7.87 x 2.99 inches; 10.86 Ounces
Department : Women
Date First Available : August 10, 2022
ASIN : B0B9937BS2
Country of Origin : China","Reviewed in the United States on July 18, 2023",Nice,Delivery,Pea,5.0 out of 5 stars,https://www.amazon.com/dp/B0B9937BS2/ref=sspa_dk_detail_1?psc=1&pd_rd_i=B0B9937BS2&pd_rd_w=T7KYU&content-id=amzn1.sym.08ba9b95-1385-44b0-b652-c46acdff309c&pf_rd_p=08ba9b95-1385-44b0-b652-c46acdff309c&pf_rd_r=P92KRXNXWHEV00T8Z39T&pd_rd_wg=0bbrQ&pd_rd_r=e4676963-b8c4-49f2-b89e-71bc595c3511&s=shoes&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzN0hMMFRFSjVKM1dZJmVuY3J5cHRlZElkPUEwNjg2OTI4MjJLNTlQNjZBREFUMCZlbmNyeXB0ZWRBZElkPUEwNzAyMDc3Mk5POVlKMk1FMzYzRCZ3aWRnZXROYW1lPXNwX2RldGFpbF90aGVtYXRpYyZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=
EVVE Women's Saffiano Crossbody Camera Bag Designer Shoulder Purse with Chain and Leather Strap,"Clothing, Shoes & Jewelry",26.99,Amazon.com,"Package Dimensions : 10.79 x 7.87 x 2.99 inches; 10.86 Ounces
Department : Women
Date First Available : August 10, 2022
ASIN : B0B9937BS2
Country of Origin : China","Reviewed in the United States on June 13, 2023",Strap twists a bit . Needs to be unkinked . I love the size and functionality . I plan to gift another color,Larger than expected,Savvy Shopper,5.0 out of 5 stars,https://www.amazon.com/dp/B0B9937BS2/ref=sspa_dk_detail_1?psc=1&pd_rd_i=B0B9937BS2&pd_rd_w=T7KYU&content-id=amzn1.sym.08ba9b95-1385-44b0-b652-c46acdff309c&pf_rd_p=08ba9b95-1385-44b0-b652-c46acdff309c&pf_rd_r=P92KRXNXWHEV00T8Z39T&pd_rd_wg=0bbrQ&pd_rd_r=e4676963-b8c4-49f2-b89e-71bc595c3511&s=shoes&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzN0hMMFRFSjVKM1dZJmVuY3J5cHRlZElkPUEwNjg2OTI4MjJLNTlQNjZBREFUMCZlbmNyeXB0ZWRBZElkPUEwNzAyMDc3Mk5POVlKMk1FMzYzRCZ3aWRnZXROYW1lPXNwX2RldGFpbF90aGVtYXRpYyZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=
